id,primeiro_responsavel_id,segundo_responsavel_id,tipo_pgto_id,ano_letivo,prazo_meses,prazo_inicio,prazo_fim,preco_valor_integral,preco_parcelas,preco_parcela_valor,preco_desconto,preco_valor_total,vencimento_parcela,financeiro,created_at,updated_at,deleted_at
1,1623,1894,1,2024,12,2024-01-10,2024-12-10,10000.00,10,950.00,500.00,9500.00,2024-01-10,S,,,
2,1530,553,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,S,,,
3,1044,501,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
4,1897,1035,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,S,,,
5,1176,56,1,2024,12,2024-01-10,0024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
6,954,304,1,2023,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
7,1898,,1,2024,12,2024-01-10,2024-12-10,9480.00,12,711.00,948.00,8532.00,2024-01-10,S,,,
8,1668,,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
9,165,1675,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
10,1197,691,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
11,1345,55,1,2024,12,2024-01-10,2024-12-10,8580.00,12,643.50,858.00,7722.00,2024-01-10,N,,,
12,971,1899,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
13,1901,,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
14,632,1375,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2023-01-10,N,,,
15,599,1357,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
16,768,1116,,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
17,1902,,1,,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-12-10,N,,,
18,835,992,,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
19,1475,347,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
20,1659,,,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2023-01-10,N,,,
21,1903,1904,1,2024,12,2024-01-15,2024-12-15,9480.00,12,711.00,948.00,8532.00,2024-01-15,N,,,
22,1290,1939,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
23,1907,1906,,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
24,795,1302,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
25,838,1910,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
26,1614,,,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
27,1911,1912,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-12-10,N,,,
28,47,,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
29,1913,1914,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
30,1913,1914,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
31,188,1730,,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
32,416,1646,1,2024,12,2024-01-10,2024-12-10,8580.00,12,643.50,858.00,7722.00,2024-01-10,N,,,
33,1740,,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
34,236,1751,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
35,1915,1439,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
36,1592,,1,2024,12,2024-01-10,2024-12-10,4740.00,12,380.00,180.00,4560.00,2024-01-10,N,,,
37,1874,484,1,2024,12,2024-01-10,2024-12-10,8580.00,12,643.50,858.00,7722.00,2024-01-10,N,,,
38,1916,,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
39,1885,776,1,2024,12,2024-01-10,0024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
40,1330,,1,2024,12,2024-01-10,2024-12-10,3840.00,12,305.00,180.00,3660.00,2024-01-10,N,,,
