id,aluno_id,aluno_contrato_id,created_at,updated_at,deleted_at
1,2,1,,,
2,384,1,,,
3,469,2,,,
4,1179,3,,,
5,1099,4,,,
7,384,6,,,
8,1230,7,,,
9,1229,7,,,
10,1074,8,,,
11,992,5,,,
12,1181,9,,,
13,657,10,,,
14,1191,11,,,
15,1192,11,,,
16,1138,12,,,
17,1225,13,,,
18,1190,14,,,
19,1083,15,,,
20,1185,16,,,
21,929,17,,,
22,631,18,,,
23,957,19,,,
24,1183,20,,,
25,1237,21,,,
26,1238,21,,,
28,1013,23,,,
29,1130,24,,,
30,1182,25,,,
31,1195,26,,,
32,1101,27,,,
33,838,28,,,
34,915,29,,,
35,915,30,,,
36,1139,31,,,
37,1128,32,,,
38,647,32,,,
39,1098,33,,,
40,1180,34,,,
41,1036,35,,,
42,1193,36,,,
43,1231,37,,,
44,1232,37,,,
45,1077,38,,,
46,1136,39,,,
47,1212,40,,,
48,1152,41,,,
50,1162,43,,,
51,924,43,,,
53,962,45,,,
54,516,46,,,
55,478,47,,,
56,823,48,,,
57,827,49,,,
58,1196,50,,,
59,1158,51,,,
60,1223,52,,,
61,1060,53,,,
62,1134,54,,,
63,1135,54,,,
64,1110,55,,,
65,993,56,,,
66,1233,56,,,
67,1149,57,,,
68,1203,58,,,
69,1108,42,,,
70,1116,59,,,
71,1178,60,,,
72,511,61,,,
73,504,62,,,
74,1002,63,,,
75,854,64,,,
76,1066,65,,,
77,1100,66,,,
78,1197,66,,,
79,711,44,,,
80,481,44,,,
81,819,67,,,
82,1239,68,,,
83,1240,69,,,
84,1065,70,,,
85,1241,71,,,
86,1052,72,,,
87,1201,73,,,
88,463,22,,,
89,1120,74,,,
90,1121,74,,,
91,1151,75,,,
92,919,76,,,
93,1242,77,,,
94,712,78,,,
95,1243,78,,,
96,635,79,,,
97,1244,80,,,
98,926,81,,,
99,1245,82,,,
100,1246,83,,,
101,1247,84,,,
102,1248,85,,,
103,1249,86,,,
104,1250,87,,,
105,930,88,,,
106,953,89,,,
107,1199,90,,,
108,748,91,,,
109,1140,91,,,
110,1105,92,,,
111,1010,93,,,
112,509,94,,,
113,1251,95,,,
114,460,96,,,
115,745,97,,,
116,1220,97,,,
117,642,98,,,
118,1253,99,,,
119,1254,99,,,
120,1252,99,,,
121,980,100,,,
122,1255,101,,,
123,882,102,,,
124,1257,103,,,
125,1256,103,,,
126,1092,104,,,
127,845,105,,,
128,1142,106,,,
