id,ano,created_at,updated_at,deleted_at
1,2010,"2020-12-15 14:22:46","2023-09-07 16:06:28",
2,2011,"2023-09-07 16:06:42","2023-09-07 16:06:42",
3,2013,"2023-09-07 16:06:58","2023-09-07 16:06:58",
4,2014,"2023-09-07 16:07:06","2023-09-07 16:07:06",
5,2015,"2023-09-07 16:07:14","2023-09-07 16:07:14",
6,2012,"2023-09-07 16:07:22","2023-09-07 16:07:22",
7,2002,"2023-09-07 16:07:32","2023-09-07 16:07:32",
8,2003,"2023-09-07 16:07:44","2023-09-07 16:07:44",
9,2004,"2023-09-07 16:07:52","2023-09-07 16:07:52",
10,2005,"2023-09-07 16:08:00","2023-09-07 16:08:00",
11,2006,"2023-09-07 16:08:09","2023-09-07 16:08:09",
12,2007,"2023-09-07 16:08:16","2023-09-07 16:08:16",
13,2008,"2023-09-07 16:08:23","2023-09-07 16:08:23",
14,2009,"2023-09-07 16:08:31","2023-09-07 16:08:31",
15,2016,"2023-09-07 16:08:38","2023-09-07 16:08:38",
16,2017,"2023-09-07 16:08:45","2023-09-07 16:08:45",
17,2018,"2023-09-07 16:08:53","2023-09-07 16:08:53",
18,2019,"2023-09-07 16:09:00","2023-09-07 16:09:00",
19,2020,"2023-09-07 16:09:07","2023-09-07 16:09:07",
20,2021,"2023-09-07 16:09:14","2023-09-07 16:09:14",
21,2022,"2023-09-07 16:09:21","2023-09-07 16:09:21",
22,2023,"2023-09-07 16:09:28","2023-09-07 16:09:28",
23,2024,"2023-09-07 16:09:34","2023-09-07 16:09:34",
24,2004,"2023-09-08 13:08:08","2023-09-08 16:08:51","2023-09-08 13:08:51"
25,2002,"2023-09-08 13:09:07","2023-09-08 16:10:11","2023-09-08 13:10:11"
26,2003,"2023-09-08 13:09:26","2023-09-08 16:10:05","2023-09-08 13:10:05"
27,2004,"2023-09-08 13:09:38","2023-09-08 16:10:00","2023-09-08 13:10:00"
