id,unit_id,nome,ordem,created_at,updated_at,deleted_at
1,1,Matemática,1,,,
2,1,Português,2,,,
3,1,História,3,,,
4,1,Geografia,4,,,
5,1,Biologia,5,,,
6,1,Literatura,6,,,
7,1,Gramática,7,,,
8,1,Ciências,8,,,
9,1,CRN,9,,,
10,1,Ética,10,,,
11,1,Inglês,11,,,
12,1,"Ed. Física",12,,,
13,1,Artes,13,,,
14,1,Química,14,,,
15,1,Física,15,,,
18,1,"E. do RN",18,,,
19,1,Filosofia,19,,,
20,1,Sociologia,20,,,
21,1,Informática,21,,,
22,1,Espanhol,22,,,
23,1,"Linguagem Oral e Escrita",23,,,
24,1,"Natureza e Sociedade",24,,,
25,1,Redação,25,,,
26,1,Religião,26,,,
27,1,"Música e Movimento",27,,,
28,1,"Artes Visuais",28,,,
29,1,Sócio-Afetivo,29,,,
30,1,Música,30,,,
31,1," Art. Vis. Linguagem Oral e Escrita Mat. Músi. Mov. ",31,,,
32,1,"Química e Cotidiano ",32,,,
33,1,"Matemática e Cotidiano",33,,,
34,1,"Relações Sócio-Históricas Culturais",34,,,
35,1,"Conceitos Físicos",35,,,
36,1,"Interpretação de Texto",36,,,
37,1,"Produção de Texto",36,,,
38,1,"Projeto de Vida",,,,
