id,disciplina_id,serie_id,a_1bim,a_2bim,a_3bim,a_4bim,ta_anual,created_at,updated_at,deleted_at
1,36,1,0,0,0,0,0,"2023-09-03 15:39:37","2023-09-03 15:39:37",
2,35,4,0,0,0,0,0,"2023-09-03 15:41:16","2023-09-03 15:41:16",
3,35,5,0,0,0,0,0,"2023-09-03 15:41:16","2023-09-03 15:41:16",
4,2,15,0,0,0,0,0,"2023-09-03 15:45:40","2023-09-03 15:45:40",
5,2,16,0,0,0,0,0,"2023-09-03 15:45:40","2023-09-03 15:45:40",
6,2,17,0,0,0,0,0,"2023-09-03 15:45:40","2023-09-03 15:45:40",
7,3,3,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
8,3,4,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
9,3,5,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
10,3,6,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
11,3,7,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
12,3,8,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
13,3,9,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
14,3,10,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
15,3,11,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
16,3,12,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
17,3,13,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
18,3,14,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
19,3,15,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
20,3,16,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
21,3,17,0,0,0,0,0,"2023-09-03 15:49:06","2023-09-03 15:49:06",
22,4,6,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
23,4,7,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
24,4,8,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
25,4,9,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
26,4,10,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
27,4,11,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
28,4,12,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
29,4,13,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
30,4,14,0,0,0,0,0,"2023-09-03 15:51:27","2023-09-03 15:51:27",
31,5,15,0,0,0,0,0,"2023-09-03 15:52:36","2023-09-03 15:52:36",
32,5,16,0,0,0,0,0,"2023-09-03 15:52:36","2023-09-03 15:52:36",
33,5,17,0,0,0,0,0,"2023-09-03 15:52:36","2023-09-03 15:52:36",
34,7,6,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
35,7,7,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
36,7,8,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
37,7,9,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
38,7,10,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
39,7,11,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
40,7,12,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
41,7,13,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
42,7,14,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
43,7,15,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
44,7,16,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
45,7,17,0,0,0,0,0,"2023-09-03 15:56:47","2023-09-03 15:56:47",
46,8,15,0,0,0,0,0,"2023-09-03 15:57:49","2023-09-03 15:57:49",
47,8,16,0,0,0,0,0,"2023-09-03 15:57:49","2023-09-03 15:57:49",
48,8,17,0,0,0,0,0,"2023-09-03 15:57:49","2023-09-03 15:57:49",
49,12,6,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
50,12,7,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
51,12,8,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
52,12,9,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
53,12,10,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
54,12,11,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
55,12,12,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
56,12,13,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
57,12,14,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
58,12,15,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
59,12,16,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
60,12,17,0,0,0,0,0,"2023-09-03 16:02:56","2023-09-03 16:02:56",
61,13,6,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
62,13,7,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
63,13,8,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
64,13,9,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
65,13,10,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
66,13,11,0,0,0,0,0,"2023-09-03 16:04:42","2023-09-03 16:04:42",
