id,historico_id,serie_id,ano,estabelecimento,municipio,uf
1,2,7,2003,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL/RN,RN
2,2,8,2004,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL/RN,RN
3,2,9,2005,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL/RN,RN
4,2,10,2006,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL/RN,RN
5,2,11,2007,"COLÉGIO ENCANTO - UNIDADE I",NATAL/RN,RN
6,2,12,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
7,2,13,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
8,2,14,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER ",NATAL/RN,RN
9,2,15,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
10,2,16,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
11,2,17,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
12,1,6,2008,"COLÉGIO CAMINHO DO SABER",NATAL,RN
13,3,6,2007,"CENTRO DE ENSINO NEUZANA","NATAL ",RN
14,3,7,2008,"CENTRO DE ENSINO NEUZANA","NATAL ",RN
15,3,8,2009,"CENTRO DE ENSINO NEUZANA","NATAL ",RN
16,3,9,2010,"CENTRO DE ENSINO NEUZANA","NATAL ",RN
17,3,10,2011,"CENTRO DE ENSINO NEUZANA","NATAL ",RN
18,3,11,2012,"COLÉGIO CAMINHO DO SABER","NATAL ",RN
19,3,12,2013,"COLÉGIO CAMINHO DO SABER","NATAL ",RN
20,4,6,2007,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
21,4,7,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
22,4,8,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
23,4,9,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
24,4,10,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
25,4,11,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
26,4,12,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL / RN",RN
27,6,6,2008,"CENTRO DE ENSINO NEUZANA",NATAL/RN,RN
28,6,7,2009,"CENTRO DE ENSINO NEUZANA",NATAL/RN,RN
29,6,8,2010,"CENTRO DE ENSINO NEUZANA",NATAL/RN,RN
30,6,9,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
31,6,10,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
32,5,6,2002,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
33,5,7,2003,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
34,5,8,2004,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
35,5,9,2005,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
36,5,10,2006,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
37,5,11,2007,"CENTRO DE APRENDIZAGEM",NATAL/RN,RN
38,5,12,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
39,5,13,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
40,5,14,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
41,5,15,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL/RN,RN
