id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
1,1,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
2,1,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3,1,Frequência,92%,86%,99%,95%,88%,97%,95%,98%,99%,99%,99%,97%
4,1,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
5,2,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
6,2,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
7,2,Frequência,-,-,-,-,-,99%,97%,99%,99%,97%,97%,98%
8,2,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
9,3,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
10,3,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
11,3,Frequência,98%,95%,96%,95%,98%,99%,100%,99%,99%,-,-,-
12,3,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,RE,-,-,-
16,4,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
17,4,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
18,4,Frequência,95%,89%,99%,93%,98%,99%,99%,-,-,-,-,-
19,4,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
20,5,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
21,5,"Carga Horária",1000,1000,100-,1000,1000,1000,1000,1000,1000,1000,1000,1000
22,5,Frequência,100%,100%,100%,100%,100%,100%,100%,96%,100%,95%,95%,96%
23,5,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
27,6,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
28,6,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
29,6,Frequência,95%,97%,97%,99%,99%,-,-,-,-,-,-,-
30,6,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
34,7,"Dias Letivos",-,200,200,200,200,200,200,200,200,-,-,-
35,7,"Carga Horária",-,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
36,7,Frequência,-,90%,95%,100%,100%,98%,96%,98%,95%,-,-,-
37,7,"Resultado Final",-,AP,AP,AP,AP,AP,AP,AP,RE,-,-,-
41,8,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
42,8,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
43,8,Frequência,-,-,-,91%,83%,98%,95%,-,-,-,-,-
44,8,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
48,9,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
49,9,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
50,9,Frequência,-,-,-,-,-,98%,95%,-,-,-,-,-
51,9,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
55,10,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
56,10,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
57,10,Frequência,94%,91%,91%,95%,-,-,-,-,-,-,-,-
58,10,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
59,11,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
60,11,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
61,11,Frequência,-,-,-,-,-,99%,98%,-,-,-,-,-
62,11,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
66,12,"Dias Letivos",-,200,200,200,200,200,200,200,200,-,-,-
67,12,"Carga Horária",-,800,800,800,800,1000,900,1000,1000,-,-,-
68,12,Frequência,-,-,-,-,-,-,-,98%,99%,-,-,-
69,12,"Resultado Final",-,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
73,13,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
74,13,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
75,13,Frequência,90%,95%,-,-,-,-,-,-,-,-,-,-
76,13,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
80,14,"Dias Letivos",-,-,-,200,200,200,-,-,-,-,-,-
81,14,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
82,14,Frequência,-,-,-,95%,97%,99%,-,-,-,-,-,-
83,14,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
87,15,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
88,15,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
89,15,Frequência,-,100%,-,-,-,-,-,-,-,-,-,-
90,15,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
94,16,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
95,16,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
96,16,Frequência,97%,98%,92%,98%,99%,-,-,-,-,-,-,-
97,16,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
101,17,"Dias Letivos",-,200,200,200,200,200,200,200,200,200,200,-
102,17,"Carga Horária",-,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-
103,17,Frequência,-,97%,92%,97%,96%,95%,98%,99%,93%,99%,98%,-
104,17,"Resultado Final",-,AP,AP,AP,AP,AP,AP,AP,AP,AP,RE,-
108,18,"Dias Letivos",200,200,200,200,200,200,200,200,-,-,-,-
109,18,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-
110,18,Frequência,-,-,-,-,95%,97%,97%,97%,-,-,-,-
111,18,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,-,-,-,-
115,19,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
116,19,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
117,19,Frequência,85%,95%,-,-,-,-,-,-,-,-,-,-
118,19,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
122,20,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
123,20,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
