id,nome,created_at,updated_at,deleted_at
1,"Nível II da Educação Infantil","2023-09-03 15:30:28","2023-09-08 11:15:33",
3,"Nível III da Educação Infantil","2023-09-03 15:31:13","2023-09-08 11:17:09",
4,"Nível IV da Educação Infantil","2023-09-03 15:32:53","2023-09-08 11:17:42",
5,"Nível V da Educação Infantil","2023-09-03 15:32:53","2023-09-08 11:19:06",
6," 1ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:23:07",
7," 2ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:25:43",
8," 3ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:26:59",
9," 4ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:29:40",
10," 5ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:33:56",
11," 6º Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:36:14",
12," 7ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 11:39:39",
13," 8ª Ano do Ensino Fundamental","2023-09-03 15:32:53","2023-09-08 12:45:16",
14," 9ª Ano do Ensino Fundamental","2023-09-03 15:33:34","2023-09-08 12:46:12",
15,"1ª Série do Ensino Médio","2023-09-03 15:33:34","2023-09-08 12:59:48",
16,"2ª Série do Ensino Médio","2023-09-03 15:33:34","2023-09-08 13:03:28",
17,"3ª Série do Ensino Médio","2023-09-03 15:33:34","2023-09-08 13:05:55",
